"","Team","PF","TotalYards","Off. Plays","Yds/Play","TO","FL","Total1stD","Cmp","Att","PassYds(Sacks Reduce Net Yds)","PTDs","Int","Yds/Att","Pass1stDowns","RushAtt","RushYds","RushTDs","Yds/RushAtt","Rush1stDowns","Penalties","PenYds","Year","Wins","Losses","Ties"
"1","Team Stats","468","5848","1073","5.5","13","4","361","392","609","4121","34","9","6.5","228","438","1727","13","3.9","96","120","1080",2014,143,47,47
"3","Team Stats","444","6152","1138","5.4","20","9","378","380","628","4087","25","11","6.1","225","470","2065","19","4.4","110","69","625",2013,130,41,41
"5","Team Stats","557","6846","1191","5.7","16","7","444","402","641","4662","34","9","7.0","256","523","2184","25","4.2","151","97","840",2012,119,52,52
"7","Team Stats","513","6848","1082","6.3","17","5","399","402","612","5084","39","12","7.9","262","438","1764","18","4.0","107","87","815",2011,147,43,43
"9","Team Stats","518","5820","986","5.9","10","5","335","331","507","3847","37","5","7.2","196","454","1973","19","4.3","119","83","766",2010,126,27,27
"11","Team Stats","427","6357","1076","5.9","22","9","373","390","592","4436","28","13","7.3","222","466","1921","19","4.1","114","81","743",2009,99,54,54
"13","Team Stats","410","5847","1095","5.3","21","10","356","339","534","3569","21","11","6.1","186","513","2278","21","4.4","145","57","501",2008,89,47,47
"15","Team Stats","589","6580","1058","6.2","15","6","393","403","586","4731","50","9","7.8","243","451","1849","17","4.1","124","78","690",2007,189,1,1
"17","Team Stats","385","5369","1055","5.1","27","15","330","326","527","3400","25","12","6.1","181","499","1969","20","3.9","121","98","940",2006,142,48,48
"19","Team Stats","379","5632","1031","5.5","24","9","334","352","564","4120","28","15","7.0","204","439","1512","16","3.4","101","110","921",2005,103,68,68
"21","Team Stats","437","5722","1035","5.5","27","13","344","293","485","3588","29","14","7.0","193","524","2134","15","4.1","120","101","822",2004,171,19,19
"23","Team Stats","348","5039","1042","4.8","24","11","294","320","537","3432","23","13","6.0","177","473","1607","9","3.4","91","111","998",2003,155,35,35
"25","Team Stats","381","5085","1031","4.9","24","10","304","374","605","3577","28","14","5.6","184","395","1508","9","3.8","99","108","895",2002,78,58,58
"27","Team Stats","371","4882","1001","4.9","28","13","292","306","482","3089","21","15","5.9","163","473","1793","15","3.8","101","92","802",2001,114,76,76
"29","Team Stats","276","4571","1037","4.4","25","10","283","328","565","3181","18","15","5.2","172","424","1390","9","3.3","80","99","815",2000,35,101,101
"31","Team Stats","299","5062","1021","5.0","33","12","280","305","540","3636","19","21","6.1","184","425","1426","9","3.4","72","95","812",1999,83,53,53
"33","Team Stats","337","5140","999","5.1","24","7","281","295","556","3660","23","17","6.1","184","403","1480","9","3.7","68","108","853",1998,89,64,64
"35","Team Stats","369","5014","960","5.2","22","7","267","321","532","3550","31","15","6.3","173","398","1464","6","3.7","71","99","845",1997,111,60,60
"37","Team Stats","418","5369","1085","4.9","27","12","339","374","628","3901","27","15","5.9","206","427","1468","15","3.4","103","97","716",1996,124,66,66
"39","Team Stats","294","5457","1187","4.6","36","20","335","351","686","3591","14","16","5.0","207","474","1866","16","3.9","106","84","676",1995,49,87,87
"41","Team Stats","351","5776","1199","4.8","38","11","348","405","699","4444","25","27","6.2","243","478","1332","12","2.8","83","78","597",1994,77,76,76
"43","Team Stats","238","5065","1091","4.6","34","10","315","289","566","3285","17","24","5.6","169","502","1780","9","3.5","116","64","468",1993,22,114,114
"45","Team Stats","205","3584","928","3.9","45","26","215","244","444","2034","13","19","4.0","130","419","1550","6","3.7","71","111","1051",1992,13,123,123
